종목코드,종목명,적용시작일,WICS대,WICS중,WICS소,KRX섹터,산업분류
405920,나라셀라,2026-07-01,필수소비재,"식품,음료,담배",음료,,음·식료품 및 담배 도매업
406820,뷰티스킨,2026-07-01,경기관련소비재,내구소비재와의류,화장품,,기타 화학제품 제조업
407400,꿈비,2026-07-01,경기관련소비재,내구소비재와의류,가정용기기와용품,,가구 제조업
408470,한패스,2026-07-01,IT,소프트웨어와서비스,IT서비스,,기타 금융업
408900,스튜디오미르,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,,"영화, 비디오물, 방송프로그램 제작 및 배급업"
408920,메쎄이상,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,양방향미디어와서비스,,기타 사업지원 서비스업
411080,샌즈랩,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
412350,레이저쎌,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,특수 목적용 기계 제조업
412540,제일엠앤에스,2026-07-01,IT,전자와 전기제품,전기제품,,특수 목적용 기계 제조업
413390,엠오티,2026-07-01,IT,전자와 전기제품,전기제품,,특수 목적용 기계 제조업
413630,씨피시스템,2026-07-01,산업재,자본재,기계,,플라스틱제품 제조업
413640,비아이매트릭스,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
415380,스튜디오삼익,2026-07-01,산업재,자본재,가구,,기타 생활용품 소매업
415640,KB발해인프라,2026-07-01,산업재,운송,운송인프라,,신탁업 및 집합투자업
416180,신성에스티,2026-07-01,IT,전자와 전기제품,전기제품,,자동차 신품 부품 제조업
417010,나노팀,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,일반 목적용 기계 제조업
417180,핑거스토리,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,양방향미디어와서비스,,기타 정보 서비스업
417200,LS머트리얼즈,2026-07-01,IT,전자와 전기제품,전기제품,,전자부품 제조업
417310,코람코더원리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
417500,제이아이테크,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,기타 화학제품 제조업
417790,트루엔,2026-07-01,IT,기술하드웨어와장비,전자장비와기기,,영상 및 음향기기 제조업
417840,저스템,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,특수 목적용 기계 제조업
417860,오브젠,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
417970,모델솔루션,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
418250,시큐레터,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
418420,라온텍,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,전자부품 제조업
418470,KT밀리의서재,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,출판,,기타 정보 서비스업
418550,제이오,2026-07-01,산업재,자본재,건설,,"건축기술, 엔지니어링 및 관련 기술 서비스업"
418620,E8,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
419050,삼기에너지솔루션즈,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
419080,엔젯,2026-07-01,IT,디스플레이,디스플레이장비및부품,,특수 목적용 기계 제조업
419120,산돌,2026-07-01,IT,소프트웨어와서비스,소프트웨어,,소프트웨어 개발 및 공급업
419530,SAMG엔터,2026-07-01,커뮤니케이션서비스,미디어와엔터테인먼트,방송과엔터테인먼트,,"영화, 비디오물, 방송프로그램 제작 및 배급업"
419540,비스토스,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
420570,제이투케이바이오,2026-07-01,경기관련소비재,내구소비재와의류,화장품,,기타 화학제품 제조업
420770,기가비스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,특수 목적용 기계 제조업
424760,벨로크,2026-07-01,IT,소프트웨어와서비스,IT서비스,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
424870,이뮨온시아,2026-07-01,건강관리,제약과생물공학,제약,,자연과학 및 공학 연구개발업
424960,스마트레이더시스템,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
424980,마이크로투나노,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,반도체 제조업
425040,티이엠씨,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,기초 화학물질 제조업
425420,티에프이,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,전자부품 제조업
